Id,SalePrice
1461,125291.664
1462,158708.88
1463,184675.48
1464,193609.77
1465,194694.28
1466,177013.8
1467,171738.44
1468,167792.53
1469,180643.22
1470,125541.15
1471,205020.28
1472,97801.375
1473,102191.805
1474,152300.86
1475,130597.125
1476,387361.3
1477,265464.62
1478,294447.72
1479,264772.6
1480,514687.34
1481,324892.06
1482,207589.64
1483,170268.84
1484,169784.89
1485,177644.95
1486,191570.31
1487,340448.53
1488,235424.75
1489,216516.06
1490,224366.97
1491,188282.92
1492,93239.875
1493,186613.8
1494,299954.75
1495,285985.44
1496,241233.42
1497,182022.62
1498,163910.16
1499,162147.36
1500,156370.89
1501,181879.95
1502,157682.06
1503,323388.2
1504,239783.92
1505,229715.34
1506,190989.9
1507,244369.5
1508,195284.72
1509,163680.86
1510,149596.4
1511,143312.9
1512,169566.75
1513,152733.56
1514,167915.5
1515,197028.2
1516,156710.64
1517,158814.33
1518,136538.42
1519,228778.9
1520,134876.25
1521,138448.62
1522,165931.02
1523,114059.05
1524,125521.98
1525,126409.766
1526,111205.49
1527,106842.63
1528,133634.92
1529,150842.02
1530,172045.81
1531,96813.805
1532,92543.55
1533,144432.22
1534,119381.41
1535,154883.06
1536,110573.2
1537,66305.98
1538,167397.66
1539,201571.77
1540,94840.38
1541,148826.48
1542,135251.38
1543,211389.4
1544,80942.04
1545,107153.375
1546,132604.08
1547,142829.27
1548,134265.34
1549,116246.48
1550,141605.56
1551,113008.516
1552,132277.66
1553,152434.97
1554,110962.805
1555,165265.64
1556,75614.49
1557,112969.445
1558,93526.53
1559,66103.22
1560,130604.45
1561,136419.69
1562,130751.695
1563,125819.336
1564,157130.53
1565,149254.73
1566,222490.27
1567,72102.41
1568,222966.1
1569,141463.31
1570,128939.73
1571,122226.38
1572,147149.72
1573,250777.84
1574,113491.25
1575,221368.8
1576,227527.34
1577,206391.89
1578,160210.05
1579,145920.23
1580,191341.44
1581,147274.9
1582,127419.88
1583,329912.84
1584,229305.77
1585,138079.1
1586,76196.41
1587,91451.66
1588,153294.05
1589,90188.06
1590,134973.36
1591,95228.266
1592,115795.516
1593,125663.24
1594,176053.94
1595,109333.9
1596,250868.08
1597,194869.58
1598,205976.69
1599,183173.69
1600,170871.62
1601,70191.84
1602,109123.14
1603,76284.87
1604,279595.47
1605,244513.14
1606,167789.62
1607,165440.06
1608,205566.81
1609,197890.61
1610,148297.28
1611,136425.08
1612,161059.45
1613,156079.16
1614,122923.195
1615,93370.78
1616,69818.25
1617,93224.71
1618,127523.85
1619,138296.38
1620,160640.6
1621,138191.08
1622,136455.03
1623,290496.9
1624,208331.39
1625,124671.27
1626,171589.16
1627,191028.12
1628,283745.44
1629,177289.75
1630,378690.9
1631,235951.55
1632,252986.22
1633,172974.62
1634,184657.92
1635,180943.8
1636,152029.38
1637,182699.25
1638,198422.0
1639,179449.58
1640,245738.28
1641,175864.7
1642,229468.97
1643,229216.92
1644,229195.02
1645,183963.64
1646,158889.0
1647,158052.58
1648,130409.92
1649,142637.47
1650,116152.88
1651,122968.19
1652,96811.12
1653,96178.414
1654,147688.3
1655,152474.67
1656,145901.05
1657,149279.83
1658,144070.97
1659,138134.33
1660,147795.75
1661,467847.7
1662,414554.25
1663,383211.25
1664,361298.22
1665,327860.66
1666,327274.8
1667,404096.66
1668,336003.88
1669,297412.34
1670,359224.4
1671,257978.72
1672,528201.06
1673,300346.34
1674,248633.17
1675,189184.42
1676,188620.45
1677,221833.17
1678,458669.75
1679,412694.8
1680,338349.28
1681,255218.69
1682,299065.5
1683,177280.02
1684,171079.05
1685,169669.28
1686,167022.84
1687,166149.58
1688,185145.73
1689,187654.23
1690,187435.55
1691,178185.48
1692,261450.72
1693,170958.39
1694,182801.5
1695,164245.69
1696,271553.5
1697,167041.56
1698,374140.88
1699,330960.25
1700,248510.69
1701,256491.2
1702,250080.62
1703,254411.84
1704,293525.2
1705,231176.42
1706,403915.3
1707,222774.81
1708,215021.44
1709,283031.97
1710,230255.94
1711,258988.66
1712,255551.3
1713,261872.52
1714,219596.8
1715,207699.78
1716,186730.44
1717,176777.52
1718,129805.49
1719,198760.34
1720,252561.72
1721,169654.53
1722,125559.39
1723,156702.44
1724,209217.78
1725,244038.92
1726,192345.47
1727,160390.22
1728,186182.78
1729,174475.72
1730,163030.1
1731,112768.25
1732,134614.84
1733,119242.73
1734,114721.38
1735,130746.48
1736,117338.88
1737,363374.7
1738,215953.14
1739,247476.64
1740,235752.66
1741,191707.56
1742,176469.72
1743,172573.5
1744,305848.78
1745,219750.94
1746,204965.16
1747,217763.33
1748,226398.8
1749,151575.3
1750,125310.06
1751,231679.8
1752,120220.9
1753,141823.45
1754,202917.27
1755,167131.5
1756,121698.445
1757,123839.71
1758,140522.42
1759,161116.61
1760,161167.98
1761,146860.3
1762,169986.06
1763,166975.53
1764,111628.28
1765,155293.97
1766,177340.97
1767,211446.73
1768,146055.73
1769,170668.11
1770,144655.36
1771,124665.836
1772,138145.67
1773,136045.88
1774,118338.77
1775,138869.77
1776,120536.21
1777,118884.32
1778,136595.95
1779,118003.81
1780,177695.98
1781,129812.93
1782,93282.88
1783,145398.14
1784,101426.55
1785,134003.06
1786,135387.38
1787,168050.9
1788,56279.805
1789,103614.625
1790,82578.71
1791,189570.86
1792,159535.36
1793,129513.484
1794,145233.19
1795,134974.56
1796,117887.19
1797,123204.24
1798,127059.58
1799,112618.28
1800,131395.39
1801,139461.11
1802,149955.16
1803,150489.95
1804,141069.64
1805,133288.36
1806,113025.055
1807,131950.14
1808,128710.43
1809,120793.93
1810,150259.69
1811,99936.266
1812,101029.54
1813,123112.125
1814,99145.03
1815,47358.242
1816,96847.766
1817,114004.58
1818,151077.08
1819,125172.52
1820,46603.418
1821,118543.67
1822,152121.64
1823,35622.605
1824,136257.89
1825,133041.7
1826,102631.08
1827,100865.53
1828,134069.48
1829,108528.68
1830,147415.97
1831,157114.39
1832,81903.39
1833,137306.97
1834,124235.45
1835,147064.06
1836,127921.93
1837,90670.2
1838,122572.016
1839,88375.47
1840,168477.7
1841,146366.77
1842,76910.97
1843,132977.14
1844,136051.56
1845,132106.69
1846,149231.39
1847,147096.92
1848,47600.914
1849,111241.75
1850,117639.25
1851,150480.36
1852,123820.91
1853,128296.22
1854,177235.31
1855,144081.84
1856,211077.02
1857,158611.47
1858,136018.5
1859,117600.125
1860,150668.36
1861,117779.48
1862,286169.47
1863,280733.5
1864,280890.62
1865,332192.56
1866,344209.62
1867,233730.75
1868,304858.28
1869,205435.11
1870,235703.86
1871,250670.53
1872,171602.7
1873,230751.66
1874,143732.33
1875,208243.47
1876,197863.42
1877,216977.83
1878,186113.27
1879,129595.23
1880,131861.31
1881,229337.56
1882,245016.88
1883,194060.53
